naslov,publisher

The Sims: House Party,Maxis

The Sims: House Party,EA Games

Phoenix Point,Snapshot Games Inc.

Ancestors Legacy,Destructive Creations

Crookz: The Big Heist,Kalypso

Hasbro Family Game Night: Connect Four,Electronic Arts

Massive Assault Network,Wargaming.net

Super Stardust Ultra,SCEA

Gigantic,Motiga

GRID,Codemasters

Jotun: Valhalla Edition,Thunder Lotus Games

Major League Baseball 2K7,2K Sports

Trials of Mana,Square Enix

Life is Strange: Episode 4 - Dark Room,Square Enix

King's Bounty: Warriors of the North,1C

King's Bounty: Warriors of the North,1C Entertainment

Magic: The Gathering - Duels of the Planeswalkers 2012,Wizards of the Coast

Left 4 Dead 2: The Passing,Electronic Arts

Steambot Chronicles,Atlus Co.

Nantucket,Fish Eagle

"Warhammer 40,000: Space Marine",THQ

Sega Rally Revo,Sega

Snake Pass,Sumo Digital

Layers of Fear,Aspyr

Layers of Fear,Bloober Team

Gatling Gears,Electronic Arts

Ghostbusters: The Video Game,Atari

Ghostbusters: The Video Game,Atari SA

Tourist Trophy,SCEA

WWE SmackDown vs. Raw 2008,THQ

Street Fighter V,Capcom

Zombie Army 4: Dead War,Rebellion

Bloodstained: Ritual of the Night,505 Games

Dawn of Man,Madruga Works

Ys: Memories of Celceta,XSEED Games

Ys: Memories of Celceta,Marvelous Inc.

Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,NIS America

Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Koei Tecmo Games

NBA 2K18,2K Games

ChromaGun,Pixel Maniacs

ChromaGun,Benjamin Lochmann New Media GmbH

Collar x Malice,Aksys Games

Super Cloudbuilt,Double Eleven

Pinball FX 2: Star Wars Pinball - Rogue One,Zen Studios

Milkmaid of the Milky Way,machineboy

Heaven's Hope,EuroVideo Medien

Heaven's Hope,EuroVideo Medien GmbH

Resident Evil: Revelations 2 - Episode 4: Metamorphosis,Capcom

The Guided Fate Paradox,NIS America

Incredipede,Northway Games

TrackMania: Build to Race,City Interactive

TrackMania: Build to Race,Focus Home Interactive

WWE SmackDown vs. Raw 2011,THQ

Broken Sword: Shadow of the Templars - The Director's Cut,Ubisoft

World Series of Poker 2008: Battle for the Bracelets,Activision

Ridge Racer 6,Namco

Ultra Bust-A-Move,Majesco Games

Classic NES Series: Castlevania,Nintendo

Manhunt,Rockstar Games

1503 A.D. - The New World,Electronic Arts

Apex,Atari

MX Superfly,THQ

Evil Islands: Curse of the Lost Soul,Fishtank Interactive

Hidden & Dangerous,Take-Two Interactive

Kinectimals,Microsoft Game Studios

Katamari Forever,Bandai Namco Games

Toukiden: Kiwami,Koei Tecmo Games

Naruto Shippuden: Clash of Ninja Revolution III,Tomy Corporation

LIT,WayForward

Moving Out,Team17

Moving Out,Sold Out

Unmechanical,Teotl Studios

Unmechanical,Talawa Games

Dungeons & Dragons Online: Stormreach,Atari

Dungeons & Dragons Online: Stormreach,Atari SA

Sam & Max: Season One,DreamCatcher Interactive

Sam & Max: Season One,The Adventure Company

Drone Tactics,Atlus

TT Isle of Man: Ride On The Edge 2,Bigben Interactive

Dive: The Medes Islands Secret,Cosmonaut Games

Shadow Complex Remastered,Epic Games

God Wars: Future Past,NIS America

Gibbous -  A Cthulhu Adventure,Stuck In Attic

Yonder: The Cloud Catcher Chronicles,Prideful Sloth

Yonder: The Cloud Catcher Chronicles,Crescent Marketing & Distribution

The Dungeon of Naheulbeuk: The Amulet of Chaos,Dear Villagers

Relicta,Ravenscourt

Relicta,Mighty Polygon

WWE 2K14,2K Games

Marble It Up!,Bad Habit Productions

Midway Arcade Treasures 2,Midway

Resident Evil: Revelations,Capcom

One Piece: Pirate Warriors 3,Bandai Namco Games

Saints Row: The Third Remastered,Deep Silver

Puyo Puyo Champions,Sega

Castlevania Requiem: Symphony of the Night & Rondo of Blood,Konami

Call of Duty: Black Ops III - Awakening,Activision

Guitar Hero: Warriors of Rock,Activision

Full Spectrum Warrior,THQ

Nano Assault EX,Majesco Games

Nano Assault EX,Majesco

UFC Undisputed 2010,THQ

Clustertruck,tinyBuild

LEGO Marvel Super Heroes 2,Warner Bros. Interactive Entertainment

Costume Quest 2,Majesco Games

Costume Quest 2,Majesco

Jet Grind Radio,THQ

RollerCoaster Tycoon 2,Atari

RollerCoaster Tycoon 2,Infogrames

Pirates: The Legend of Black Kat,Electronic Arts

Cossacks: European Wars,Strategy First

Dying Light,Warner Bros. Interactive Entertainment

Mass Effect 3: Leviathan,Electronic Arts

SingStar Queen,SCEA

SUPERBEAT: XONiC,Rising Star Games

Grow Home,Ubisoft

Samurai Warriors: Spirit of Sanada,Koei Tecmo Games

F.E.A.R. 3,Warner Bros. Interactive Entertainment

Lapis x Labyrinth,NIS America

Star Fox Guard,Nintendo

Journey to the Savage Planet,505 Games

Mordheim: City of the Damned,Focus Home Interactive

God Eater 3,Bandai Namco Games

Snapshot,Retro Affect

Power Stone Collection,Capcom

The Swords of Ditto,Devolver Digital

Payday 2,505 Games

Ultimate Spider-Man,Activision

Darkwood,Crunching Koalas

The Fall Part 2: Unbound,Over The Moon

Chroma Squad,Behold Studios

Devil May Cry HD Collection,Capcom

Naruto Shippuden: Ultimate Ninja Storm Generations,Namco Bandai Games America

Naruto Shippuden: Ultimate Ninja Storm Generations,Namco Bandai Games

Destroy All Humans! 2,THQ

Fort Triumph,Fort Triumph LTD

Sky Force Reloaded,Infinite Dreams Inc.

Tachyon Project,Eclipse Games

Oceanhorn: Monster of Uncharted Seas,Cornfox & Bros.

F.E.A.R. 3,Warner Bros. Interactive Entertainment

Giana Sisters: Twisted Dreams - Owltimate Edition,Black Forest Games

Giana Sisters: Twisted Dreams - Owltimate Edition,THQ Nordic

Wolfenstein,Activision

The Lord of the Rings: The Third Age,EA Games

Amplitude,Harmonix Music Systems

Just Dance 2,Ubisoft

The Secret World,Electronic Arts

Army of Two: The 40th Day,Electronic Arts

Sonic Chronicles: The Dark Brotherhood,Sega

Guilty Gear XX Accent Core Plus,Arc System Works

SOCOM: U.S. Navy SEALs Fireteam Bravo 3,SCEA

Bomberman Land Touch! 2,Hudson Entertainment

Gran Turismo: The Real Driving Simulator,SCEA

Yesterday Origins,Microids

Luigi's Mansion,Nintendo

Zeno Clash: Ultimate Edition,Atlus

Assassin's Creed Rogue,Ubisoft

Pikuniku,Devolver Digital

Action Henk,RageSquid

IL-2 Sturmovik: Battle of Stalingrad,Excalibur Publishing Limited

IL-2 Sturmovik: Battle of Stalingrad,1C Game Studios

Cloud Chamber,Investigate North Aps

UEFA Euro 2004: Portugal,Electronic Arts

Shining Soul II,Atlus Co.

Romance of the Three Kingdoms IX,Koei

Pro Race Driver,Codemasters

Armored Core 3,Agetec Inc.

Way of the Samurai,Bam Entertainment

Spider-Man 2: Enter: Electro,Activision

4x4 Evolution,Gathering

AeroWings 2: Air Strike,Crave

TrackMania (2003),Enlight Software

Wild Guns Reloaded,Natsume

Naruto Shippuden: Ultimate Ninja Storm 2,Namco Bandai Games

Yumi's Odd Odyssey,Natsume

Custom Robo Arena,Nintendo

Pendragon,inkle

Attack on Titan 2,Koei Tecmo Games

Roundabout,No Goblin

Shin Megami Tensei: Devil Summoner - Soul Hackers,Atlus

TRI,Rising Star Games

TRI,Rat King Entertainment

Baseball Mogul 2008,Enlight Software

ArmA: Combat Operations,Atari

ArmA: Combat Operations,Atari SA

Mini Ninjas,Eidos Interactive

Mini Ninjas,Warner Bros. Interactive Entertainment

Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. the Soulless Army,Atlus Co.

Comic Jumper: The Adventures of Captain Smiley,Twisted Pixel Games

Sacred,"Encore Software, Inc."

Sacred,Encore Software

Attack on Titan,Koei Tecmo Games

One Step From Eden,Thomas Moon Kang

Coffee Talk,Toge Productions

Vasara Collection,QUByte Interactive

Vasara Collection,Strictly Limited Games

198X,Hi-Bit Studios

Out There: Omega The Alliance,Raw Fury

Turok,Night Dive Studios

Implosion - Never Lose Hope,Flyhigh Works

Sakura Samurai: Art of the Sword,Nintendo

Fight Night Round 3,EA Sports

Rocky,Ubisoft

Fatal Frame,Tecmo

de Blob 2,THQ

Madden NFL 06,EA Sports

Dead Rising 4,Microsoft Game Studios

Call of Duty: Black Ops II,Activision

Darwin Project,Scavengers Studio

Act of War: High Treason,Atari

Act of War: High Treason,Atari SA

In Other Waters,Fellow Traveller

Anarcute,Anarteam

Neon Chrome,10tons Entertainment

Neon Chrome,10tons

Transformers: Devastation,Activision

Ion Assault,Microsoft Game Studios

Pro Evolution Soccer 2008,Konami

Midnight Club 3: DUB Edition,Rockstar Games

Mafia II,2K Games

Eagle Flight,Ubisoft

Shadow Warrior,Majesco Games

Shadow Warrior,Devolver Digital

Shadow Warrior,Majesco

Atelier Firis: The Alchemist and the Mysterious Journey,Koei Tecmo Games

Attack on Titan 2: Final Battle,Koei Tecmo Games

Contra Anniversary Collection,Konami

2064: Read Only Memories INTEGRAL,MidBoss

Batman: The Telltale Series - Episode 3: New World Order,Telltale Games

Blues and Bullets - Episode 2: Shaking The Hive,A Crowd of Monsters

Mercury Hg,UTV Ignition Games

Star Ocean: First Departure,Square Enix

Fire Emblem Warriors,Nintendo

Fire Emblem Warriors,Koei Tecmo Games

Kamiko,Flyhigh Works

TASTEE: Lethal Tactics,SkyBox Labs

Anna's Quest,Daedalic Entertainment

Destination: Treasure Island,Dreamcatcher

"Sam & Max Episode 103: The Mole, the Mob and the Meatball",Telltale Games

"Sam & Max Episode 103: The Mole, the Mob and the Meatball",GameTap

Monster Prom: XXL,Those Awesome Guys

HYPERCHARGE: Unboxed,Digital Cybercherries

Cat Quest,PQube

Cat Quest,The Gentlebros

Resident Evil: Revelations 2,Capcom

Bit.Trip Fate,Gaijin Games

The Sims 2: Bon Voyage,Electronic Arts

Red Dead Revolver,Rockstar Games

Midway Arcade Treasures,Midway

Hulk,Universal Interactive

GT Advance 3: Pro Concept Racing,THQ

Capcom vs. SNK Pro,Capcom

Wreckless: The Yakuza Missions,Activision

MX 2002 Featuring Ricky Carmichael,THQ

Dance Dance Revolution Disney Mix,Konami

Syndicate,Electronic Arts

The Alliance Alive HD Remastered,NIS America

A Pixel Story,Channel 4

Taito Legends,Sega

Atelier Iris: Eternal Mana,NIS America

Need for Speed Carbon,EA Games

Darius Cozmic Collection: Arcade,ININ Games

Afterparty,Night School Studio

John Wick Hex,Good Shepherd Entertainment

Disgaea PC,NIS America

Dying Light,Warner Bros. Interactive Entertainment

Just Dance 4,Ubisoft

Rock of Ages,Atlus

Fortix 2,Nemesys

NHL 2K8,Take-Two Interactive

SSX Blur,EA Sports Big

Hamilton's Great Adventure,Fatshark AB

2014 FIFA World Cup Brazil,EA Sports

Beholder: Complete Edition,Curve Digital

Beholder: Complete Edition,Warm Lamp Games

Headlander,Double Fine Productions

Headlander,Adult Swim

The Bridge (2013),The Quantum Astrophysicists Guild

"Yes, Your Grace",No More Robots

The Walking Dead: The Telltale Series - A New Frontier Episode 5: From The Gallows,Telltale Games

Neverending Nightmares,Infinitap Games

Shantae: Risky's Revenge - Director's Cut,WayForward

Shantae: Risky's Revenge - Director's Cut,Limited Run Games

Dead or Alive 5,Tecmo Koei America Corp.

Dead or Alive 5,Tecmo Koei Games

Tokyo Jungle,SCEA

Mirror's Edge Catalyst,Electronic Arts

Virginia,505 Games

Dead In Vinland,Playdius

SBK X: Superbike World Championship,SouthPeak Games

Infected,Majesco Games

Infected,Majesco

The Flame in the Flood,The Molasses Flood

MechWarrior 5: Mercenaries,Piranha Games

Eador: Masters of the Broken World,Snowbird Game Studios

Rocketbirds: Hardboiled Chicken,Ratloop Asia Pte Ltd

Project Warlock,Crunching Koalas

Tom Clancy's The Division 2: Warlords of New York,Ubisoft

The Beast Inside,Movie Games S.A.

Fate/Extella Link,XSEED Games

LEGO The Incredibles,Warner Bros. Interactive Entertainment

Paladins: Champions of the Realm,Hi-Rez Studios

Sparc,Sony Interactive Entertainment

LEGO Batman 3: Beyond Gotham,Warner Bros. Interactive Entertainment

Marvel Pinball 3D,Zen Studios

Borderlands: Claptrap's New Robot Revolution,2K Games

Caesar IV,Vivendi Games

Darkwatch,Capcom

Call of Duty: Finest Hour,Activision

Nemesis of the Roman Empire,Enlight Software

Counter-Strike,Microsoft Game Studios

Law & Order II: Double or Nothing,Legacy Interactive

TransWorld Snowboarding,Atari

Spyro: Season of Ice,VU Games

Hot Potato!,Bam Entertainment

Vampire: The Masquerade - Redemption,Activision

Castlevania: Curse of Darkness,Konami

Game of Thrones: Episode Five - A Nest of Vipers,Telltale Games

Puzzlegeddon,Pieces Interactive

Outlaw Golf 2,Global Star Software

PlayStation All-Stars Battle Royale,SCEA

PQ2: Practical Intelligence Quotient,D3Publisher

The Swords of Ditto,Devolver Digital

Puzzle Quest 2,D3Publisher

Batman: The Telltale Series - Episode 1: Realm of Shadows,Telltale Games

Double Kick Heroes,Headbang Club

Railway Empire: Switch Edition,Kalypso

Dungeon Defenders: Awakened,Chromatic Games

NASCAR Heat 4,704Games

Bomber Crew,Curve Digital Games

Bomber Crew,Curve Digital

Culdcept Revolt,NIS America

Summon Night 5,GAIJINWORKS

The Elder Scrolls Online: Tamriel Unlimited,Bethesda Softworks

Pro Evolution Soccer 2014,Konami

Dance Dance Revolution Universe,Konami

Armello,League of Geeks

Pump It Up: Exceed,Mastiff

Arma 3,Bohemia Interactive

Drox Operative,Soldak Entertainment

Galaga Legions,Namco Bandai Games

The Sims 2: FreeTime,Electronic Arts

Tak: The Great Juju Challenge,THQ

They Bleed Pixels,Spooky Squid Games

Tumble,SCEE

Guitar Hero: Smash Hits,Activision

Prince of Persia: The Forgotten Sands,Ubisoft

The Red Solstice,Ironward

Bejeweled 2,PopCap

Minecraft Dungeons,Mojang AB

Minecraft Dungeons,Xbox Game Studios

Pro Evolution Soccer 2009,Konami

Medal of Honor: Allied Assault - Spearhead,Electronic Arts

Medal of Honor: Allied Assault - Spearhead,EA Games

Master of Orion: Conquer the Stars,MicroProse

Master of Orion: Conquer the Stars,Wargaming World Ltd

Master of Orion: Conquer the Stars,WG Labs

Neverwinter,Perfect World Entertainment

Sega Ages: G-LOC Air Battle,Sega

Just Dance 2020,Ubisoft

The Elder Scrolls Online: Elsweyr,Bethesda Softworks

Overwhelm,Alliance

SNK 40th Anniversary Collection,NIS America

The Council,Focus Home Interactive

Cat Quest,PQube

Oriental Empires,Iceberg Interactive

Minecraft: Story Mode Season Two - Episode 2: Giant Consequences,Telltale Games

Mirage: Arcane Warfare,Torn Banner Studios

Stories: The Path of Destinies,Spearhead Games

Fallout 4: Automatron,Bethesda Softworks

Mega Coin Squad,Big Pixel Studios

Dragon Age: Inquisition - Jaws Of Hakkon,Electronic Arts

Pro Evolution Soccer 2011,Konami

NFL Fever 2004,Microsoft Game Studios

All-Star Baseball 2004,Acclaim

Rocky,Ubisoft

Phantom Crash,Phantagram

Robotech: Battlecry,TDK Mediactive

Cossacks: The Art of War,cdv Software

Mario Party 3,Nintendo

Delta Force: Land Warrior,NovaLogic

Army Men: Air Attack 2,3DO

Quake,Midway

Bomberman,Konami

Kessen III,Koei

"What Did I Do to Deserve This, My Lord!? 2",NIS America

Game of Thrones: Episode Two - The Lost Lords,Telltale Games

Call of Duty: Ghosts,Activision

Scrapland,Enlight Software

Pursuit Force: Extreme Justice,SCEA

Jurassic World Evolution: Complete Edition,Frontier Developments

Batman: The Telltale Series - Episode 4: Guardian of Gotham,Telltale Games

Phantom Doctrine,Good Shepherd Entertainment

Namco Museum Battle Collection,Namco

Yggdra Union: We'll Never Fight Alone,Atlus

NBA Live 08,EA Sports

Naruto: Ultimate Ninja 2,Namco Bandai Games

Sherlock Holmes: Crimes & Punishments,Focus Home Interactive

Disc Jam,High Horse Entertainment

Ladykiller in a Bind,Love Conquers All Games

Disney/Pixar Toy Story 3,Disney Interactive Studios

New International Track & Field,Konami

FlatOut 2,Vivendi Games

Medal of Honor Heroes 2,Electronic Arts

Aragami: Shadow Edition,Merge Games

Aragami: Shadow Edition,Lince Works

Super Mario Maker for Nintendo 3DS,Nintendo

The Deadly Tower of Monsters,Atlus

Resident Evil: Revelations 2 - Episode 1: Penal Colony,Capcom

The Testament of Sherlock Holmes,Frogwares

The Testament of Sherlock Holmes,Focus Home Interactive

Europa Universalis: Rome,Paradox Interactive

11-11: Memories Retold,Bandai Namco Games

Hammerin' Hero,Atlus

Dead or Alive Xtreme Beach Volleyball,Tecmo

Shadow Warrior,Devolver Digital

NBA Live 19,Electronic Arts

Mini Ninjas,Eidos Interactive

Mini Ninjas,Warner Bros. Interactive Entertainment

Tiger Woods PGA Tour 07,EA Sports

Far Cry New Dawn,Ubisoft

XIII,Ubisoft

Your Shape: Fitness Evolved,Ubisoft

Army of Two: The 40th Day,Electronic Arts

Killzone: Shadow Fall,SCEA

Life Goes On,Infinite Monkeys

The House of the Dead 4,Sega

Battlefield Hardline,Electronic Arts

Red Dead Revolver,Rockstar Games

Resident Evil 5: Desperate Escape,Capcom

Puchi Puchi Virus,NIS America

The Egyptian Prophecy,The Adventure Company

1080: Avalanche,Nintendo

James Bond 007: Everything or Nothing,EA Games

Voodoo Vince,Microsoft Game Studios

Indiana Jones and the Emperor's Tomb,LucasArts

Red Dog: Superior Firepower,Crave

Death Track Racing,Take-Two Interactive

Sanity: Aiken's Artifact,Fox Interactive

The Urbz: Sims in the City,EA Games

Luminous Arc 2,Atlus

Cloudpunk,ION LANDS

FlatOut 2,Vivendi Games

WarioWare D.I.Y. Showcase,Nintendo

Destiny 2: Shadowkeep,Activision

Just Cause,Eidos Interactive

Jetpac Refuelled,Microsoft Game Studios

Ultratron,Curve Digital

The Sims 2: Castaway,Electronic Arts

Control: AWE,Epic Games

A Normal Lost Phone,Plug In Digital

Chicken Wiggle,Atooi LLC

The Saboteur,Electronic Arts

My Spanish Coach,Ubisoft

Sonic Mega Collection Plus,Sega

FIFA Soccer 11,Electronic Arts

Black Desert Online,GameOn

LittleBigPlanet Karting,SCEA

Medal of Honor: Airborne,Electronic Arts

MirrorMoon EP,Santa Ragione

Yoshi Touch & Go,Nintendo

The Elder Scrolls V: Skyrim - Dawnguard,Bethesda Softworks

Motocross Madness,Microsoft Game Studios

Scott Pilgrim vs. the World: The Game,Ubisoft

NFL Street 2 Unleashed,EA Sports Big

Oceanhorn 2: Knights of the Lost Realm,Cornfox & Bros.

Ikenfell,Humble Bundle

Moero Crystal H,EastAsiaSoft

Final Fantasy VIII Remastered,Square Enix

Quarantine Circular,Mike Bithell

Max: The Curse of Brotherhood,Stage Clear Studios

Just Dance 2017,Ubisoft

Just Dance 2017,Ubisoft

Jotun: Valhalla Edition,Thunder Lotus Games

Another World: 20th Anniversary Edition,The Digital Lounge

Bandfuse: Rock Legends,Mastiff

Crash: Mind Over Mutant,Activision Blizzard

All-Pro Football 2K8,2K Sports

Mario Party 9,Nintendo

Project Spark,Microsoft Game Studios

Assassin's Creed III - The Infamy,Ubisoft

Tak 2: The Staff of Dreams,THQ

Battlefield V,Electronic Arts

Tesla vs Lovecraft,10tons

Yo-kai Watch 2: Psychic Specters,Nintendo

Life is Strange: Episode 2 - Out of Time,Square Enix

Scrolls,Mojang AB

Phantom Doctrine,Good Shepherd Entertainment

When Vikings Attack!,SCEA

ArmA II: Operation Arrowhead,Meridian4

The Legend of Bum-bo,Edmund McMillen

Assassin's Creed Origins: The Hidden Ones,Ubisoft

Typoman: Revised,Brainseed Factory

Just Dance 2016,Ubisoft

Baboon!,Relevo

Pokemon Colosseum,Nintendo

Pitfall: The Lost Expedition,Activision

kill.switch,Namco

Pride FC: Fighting Championships,THQ

Rally Fusion: Race of Champions,Activision

Sled Storm,Electronic Arts

Motor City Online,EA Games

Formula One 2001,SCEA

Gauntlet: Dark Legacy,Midway

Dave Mirra Freestyle BMX,Acclaim

Cannon Spike,Capcom

Blair Witch Volume I: Rustin Parr,Gathering

LEGO Pirates of the Caribbean: The Video Game,Disney Interactive Studios

Strong Bad's Cool Game for Attractive People Episode 1: Homestar Ruiner,Telltale Games

Titanfall: Expedition,Electronic Arts

RACE On,Viva Media

RACE On,"Viva Media, LLC"

Life is Strange 2: Episode 2 - Rules,Square Enix

Lumines Plus,Disney Interactive Studios

Vasara Collection,QUByte Interactive

Vasara Collection,Strictly Limited Games

Sega Genesis Classics,Sega

Batman: The Telltale Series - Episode 4: Guardian of Gotham,Telltale Games

God Eater 2: Rage Burst,Bandai Namco Games

Punch Club,tinyBuild

Pure Hold 'Em,VooFoo Studios

Guilty Gear Isuka,Sammy Studios

Pandora's Tower,XSEED Games

Gun Showdown,Activision

Farming Simulator 19,Focus Home Interactive

Nowhere Prophet,Sharkbomb Studios

Call of Duty: WWII - The War Machine,Activision

Apocalipsis,PlayWay

Apocalipsis,Klabater

SingStar Queen,SCEA

Livelock,Perfect World Entertainment

Outlast: Whistleblower,Red Barrels

The SpongeBob SquarePants Movie,THQ

The Sims: Castaway Stories,EA Games

XIII,Ubisoft

Cossacks II: Napoleonic Wars,cdv Software

NES Remix 2,Nintendo

The Political Machine 2008,Stardock

Viewtiful Joe: Double Trouble!,Capcom

Urban Chaos: Riot Response,Eidos Interactive

Onimusha: Warlords,Capcom

Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,Namco Bandai Games America

Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,Namco Bandai Games

Ys: The Oath in Felghana,XSEED Games

Lumo,Rising Star Games

Lumo,Maximum Games

Sega 3D Classics Collection,Sega

Savage Moon,SCEA

Naruto Shippuden: Ultimate Ninja Storm Revolution,Bandai Namco Games

Sonic Heroes,Sega

Ultimate Mortal Kombat,Midway

FIFA Soccer,Electronic Arts

Cricket 19,Big Ant Studios

Crash of the Titans,Sierra Entertainment

Mad Max,Warner Bros. Interactive Entertainment

Regalia: Of Men and Monarchs,Pixelated Milk

Regalia: Of Men and Monarchs,Klabater

Lightmatter,Aspyr

LEGO Harry Potter Collection,Warner Bros. Interactive Entertainment

Shio,Coconut Island Games

Titan Souls,Devolver Digital

Kirby and the Rainbow Curse,Nintendo

Chariot,Frima Studio

Escape Plan,SCEA

Prism: Light the Way,Eidos Interactive

The Sims 2,Electronic Arts

Persona 3: Dancing in Moonlight,Atlus

Space Run,Focus Home Interactive

Need for Speed ProStreet,EA Games

Xeodrifter,Renegade Kid

Alan Wake's American Nightmare,Remedy Entertainment

The Outer Worlds: Peril on Gorgon,Private Division

Dead to Rights,Namco

LocoRoco Midnight Carnival,SCEA

Puzzle & Dragons Z + Puzzle & Dragons: Super Mario Bros. Edition,Nintendo

Paper Sorcerer,Ultra Runaway Games

Dungeon Hearts,Devolver Digital

Driftmoon,Instant Kingdom

Buffy the Vampire Slayer: Chaos Bleeds,Sierra Entertainment

Dead to Rights,Namco

Driver 2 Advance,Atari

Super Bust-A-Move 2,Ubisoft

NFL Blitz 20-03,Midway

Warrior Kings,Microids

Smash Court Tennis Pro Tournament,Namco

Lady Sia,TDK Mediactive

Dave Mirra Freestyle BMX,Acclaim

Body Harvest,Midway

LEGO Pirates of the Caribbean: The Video Game,Disney Interactive Studios

Deus Ex: Human Revolution - The Missing Link,Square Enix

King's Bounty: Dark Side,1C

King's Bounty: Dark Side,1C Entertainment

NBA Baller Beats,Majesco Games

NBA Baller Beats,Majesco

Fritz 9: Play Chess,Viva Media

Fritz 9: Play Chess,"Viva Media, LLC"

Life is Strange 2: Episode 3 - Wastelands,Square Enix

Mom Hid My Game!,Kemco

Ashes Cricket,Big Ant Studios

Cosmophony,Moving Player

Castlevania: Lords of Shadow - Mirror of Fate HD,Konami

The Sims 3: Island Paradise,Electronic Arts

Silent Hill: Shattered Memories,Konami

Battlestations: Midway,Eidos Interactive

World to the West,Soedesco

Cogs,Lazy 8 Studios

Cold Winter,VU Games

Dauntless,Phoenix Labs

State of Mind,Daedalic Entertainment

Laser Squad Nemesis,Got Game Entertainment

Final Fantasy XI: Chains of Promathia,Square Enix

Stela,SkyBox Labs

Black Bird,Onion Games

The Swindle,Curve Digital

The Council - Episode 1: The Mad Ones,Focus Home Interactive

Action Henk,RageSquid

The Jackbox Party Pack 7,"Jackbox Games, Inc."

Batman: The Telltale Series - Episode 3: New World Order,Telltale Games

Batman: Return to Arkham,Warner Bros. Interactive Entertainment

Disney Magical World 2,Nintendo

MotoGP 13,Bigben Interactive

Fantasy Life,Nintendo

Never Alone,E-Line Media

Wild Arms Alter Code: F,Agetec Inc.

Hard Reset Redux,Gambitious

Second Sight,Codemasters

Resident Evil: Revelations 2,Capcom

Freedom Wars,SCEA

HarmoKnight,Nintendo

GRID,Codemasters

Road Redemption,Tripwire Interactive

Road Redemption,Dark Seas Games

Mega Man Legacy Collection 2,Capcom

Children of Zodiarcs,Cardboard Utopia

Under Defeat HD,Rising Star Games

Scribblenauts Unlimited,Warner Bros. Interactive Entertainment

The Book of Unwritten Tales: Critter Chronicles,The Adventure Company

Funky Lab Rat,Hydravision

The Elder Scrolls Online: Greymoor,Bethesda Softworks

Kung Fu Panda: Legendary Warriors,Activision

After Burner: Black Falcon,Sega

Polarium,Nintendo

Bugsnax,"Young Horses, Inc"

Bugsnax,Fangamer

THOTH,Jeppe Carlsen

Battle Princess Madelyn,Causal Bit Games

Saints Row IV: Re-Elected,Deep Silver

Conflict: Desert Storm II - Back to Baghdad,Gotham Games

I-Ninja,Namco

Treasure Planet: Battle at Procyon,Disney Interactive

Treasure Planet: Battle at Procyon,Disney Interactive Studios

Star Wars: The Clone Wars,LucasArts

Rugby,Electronic Arts

Sheep,Empire Interactive

Pump It Up: Exceed,Mastiff

Just Cause 3,Square Enix

Scarface: The World Is Yours,Vivendi Games

Mulaka,Lienzo

Kirby Star Allies,Nintendo

Farming Simulator: Nintendo Switch Edition,Focus Home Interactive

Human: Fall Flat,Curve Digital

Sherlock Holmes vs. Jack the Ripper,Focus Home Interactive

NHL 2K7,2K Sports

X-Men Origins: Wolverine,Activision

The TakeOver,DANGEN Entertainment

LEGO Harry Potter Collection,Warner Bros. Interactive Entertainment

The Crew: Wild Run,Ubisoft

Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,Konami

Marvel: Ultimate Alliance 2,Activision

Eufloria,Omni Systems

"Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumblebees",Telltale Games

War Front: Turning Point,cdv Software

Dark Souls III: Ashes of Ariandel,Bandai Namco Games

AGON: The Mysterious Codex,Take-Two Interactive

The Escapists 2,Team17

The Escapists 2,Mouldy Toof Studios

