naslov,platforma 
Raiden V: Director's Cut,PlayStation 4
Raiden V: Director's Cut,Switch
Raiden V: Director's Cut,Xbox One
FAST - Racing League,Wii
Need for Speed: Hot Pursuit Remastered,PlayStation 4
Need for Speed: Hot Pursuit Remastered,Switch
Need for Speed: Hot Pursuit Remastered,Xbox One
Madden NFL 25,Xbox One
Madden NFL 25,PlayStation 3
Madden NFL 25,PlayStation 4
Madden NFL 25,Xbox 360
Star Wars Episode III: Revenge of the Sith,DS
0RBITALIS,PC
Out of the Park Baseball Manager 2006,PC
Bandits: Phoenix Rising,PC
Soldiers of Anarchy,PC
Saiyuki: Journey West,PlayStation
Draugen,PC
Draugen,Xbox One
Spartan: Total Warrior,GameCube
Wattam,PC
Rad Rodgers,PC
Rad Rodgers,Switch
Rad Rodgers,Xbox One
ClaDun Returns: This is Sengoku!,PlayStation 4
ClaDun Returns: This is Sengoku!,PlayStation Vita
Poly Bridge,PC
Poly Bridge,Switch
Zumba Fitness Rush,Xbox 360
Blood Bowl: Legendary Edition,PC
Banjo-Tooie,Xbox 360
The Flame in the Flood,PC
The Flame in the Flood,Switch
The Flame in the Flood,Xbox One
Pathfinder: Kingmaker,PC
BPM: Bullets Per Minute,PC
Disney Infinity 2.0 Edition,Xbox One
Disney Infinity 2.0 Edition,PC
Disney Infinity 2.0 Edition,PlayStation 3
Disney Infinity 2.0 Edition,PlayStation 4
Disney Infinity 2.0 Edition,PlayStation Vita
Disney Infinity 2.0 Edition,Wii U
Disney Infinity 2.0 Edition,Xbox 360
Blues and Bullets - Episode 1: The End of Peace,PC
Blues and Bullets - Episode 1: The End of Peace,Xbox One
Soul Nomad & the World Eaters,PlayStation 2
Yooka-Laylee,PC
Yooka-Laylee,Switch
Yooka-Laylee,Xbox One
Muse Dash,Switch
Muse Dash,PC
Last Year: The Nightmare,PC
Fist Puncher,PC
Kinect: Disneyland Adventures,Xbox 360
Kinect: Disneyland Adventures,Xbox One
inFamous: First Light,PlayStation 4
Iron Danger,PC
ModNation Racers,PSP
Nancy Drew: The White Wolf of Icicle Creek,PC
Battle Engine Aquila,PlayStation 2
"Scene It? Lights, Camera, Action",Xbox 360
Hitman: Codename 47,PC
Monster Lab,Wii
Pro Evolution Soccer 2011 3D,3DS
Pro Evolution Soccer 2011 3D,PC
Pro Evolution Soccer 2011 3D,PlayStation 2
Pro Evolution Soccer 2011 3D,PlayStation 3
Pro Evolution Soccer 2011 3D,Xbox 360
Earth 2160,PC
Arcade Spirits,PlayStation 4
Arcade Spirits,Switch
Arcade Spirits,Xbox One
Final Fantasy Crystal Chronicles: My Life as a Darklord,Wii
Mercury Meltdown Remix,PlayStation 2
Unstoppable Gorg,PC
My Time At Portia,Xbox One
My Time At Portia,PlayStation 4
My Time At Portia,Switch
Dante's Inferno,Xbox 360
FIFA 07 Soccer,Xbox 360
Kinect Sports,Xbox 360
West of Dead,Xbox One
West of Dead,PlayStation 4
West of Dead,Switch
LEGO Harry Potter Collection,PlayStation 4
LEGO Harry Potter Collection,Xbox One
Neverwinter Nights 2: Storm of Zehir,PC
Minoria,PC
Minoria,Switch
Minoria,Xbox One
Creed: Rise to Glory,PlayStation 4
Immortal Redneck,PlayStation 4
Immortal Redneck,Switch
Immortal Redneck,Xbox One
Project Highrise,PC
Spartan: Total Warrior,Xbox
Yu-Gi-Oh! Nightmare Troubadour,DS
Beyond Divinity,PC
Primal,PlayStation 2
Godzilla: Destroy All Monsters Melee,GameCube
Star Wars: Racer Revenge,PlayStation 2
Mat Hoffman's Pro BMX,PC
The Sting!,PC
Disney's Donald Duck: Goin' Quackers,PlayStation 2
Supercross,PlayStation
Motocross Mania,PC
Ms. Pac-Man Maze Madness,Dreamcast
NASCAR 2001,PlayStation
Dokapon Kingdom,Wii
SingStar Pop,PlayStation 2
Yono and the Celestial Elephants,Switch
Beautiful Katamari,Xbox 360
NBA Live 08,PSP
NBA Live 08,PlayStation 2
NBA Live 08,PlayStation 3
NBA Live 08,Xbox 360
Broken Age: Act 2,PC
Call of Duty: WWII,PC
Call of Duty: WWII,Xbox One
Star Wars Battlefront,PlayStation 4
Star Wars Battlefront,Xbox One
World War Z,Xbox One
World War Z,PlayStation 4
Wizard of Legend,PlayStation 4
Wizard of Legend,Switch
Wizard of Legend,Xbox One
Dragon Ball Z: Attack of the Saiyans,DS
College Hoops 2K7,Xbox
College Hoops 2K7,PlayStation 3
College Hoops 2K7,Xbox 360
Need for Speed Carbon: Own the City,PSP
Need for Speed Carbon: Own the City,PlayStation 3
Need for Speed Carbon: Own the City,Xbox 360
Armored Core: Nexus,PlayStation 2
Fe,PC
Fe,Switch
Fe,Xbox One
Mega Man X Collection,PlayStation 2
Drawn to Life,DS
Stellaris: Apocalypse,PC
Stellaris: Apocalypse,Xbox One
Agents of Mayhem,Xbox One
Agents of Mayhem,PlayStation 4
Scribblenauts Unlimited,3DS
Scribblenauts Unlimited,PC
Scribblenauts Unlimited,Wii U
Real World Golf,PlayStation 2
Warp,Xbox 360
Warp,PlayStation 3
Batman: The Telltale Series - Episode 2: Children of Arkham,PC
Batman: The Telltale Series - Episode 2: Children of Arkham,PlayStation 3
Batman: The Telltale Series - Episode 2: Children of Arkham,PlayStation 4
Batman: The Telltale Series - Episode 2: Children of Arkham,Xbox 360
Batman: The Telltale Series - Episode 2: Children of Arkham,Xbox One
Call of Duty: Black Ops III,PC
Call of Duty: Black Ops III,PlayStation 4
Call of Duty: Black Ops III,Xbox 360
Call of Duty: Black Ops III,Xbox One
Zone of the Enders HD Collection,PlayStation 3
The Sims 3,DS
The Sims 3,iPhone/iPad
The Sims 3,PC
The Sims 3,PlayStation 3
The Sims 3,Xbox 360
War of the Roses,PC
Gravity Crash,PlayStation 3
PAIN: Amusement Park,PlayStation 3
Dragon Ball Z: Budokai Tenkaichi 2,PlayStation 2
Anarchy Reigns,Xbox 360
Red Faction: Guerrilla Re-Mars-tered,Xbox One
Red Faction: Guerrilla Re-Mars-tered,PlayStation 4
Red Faction: Guerrilla Re-Mars-tered,Switch
Warlords Battlecry III,PC
Tribes Aerial Assault,PlayStation 2
Mini Ninjas,Xbox 360
Mini Ninjas,PC
Mini Ninjas,PlayStation 3
Madagascar,PC
Sakura Wars,PlayStation 4
Dandara,Switch
Dandara,PC
Dandara,PlayStation 4
Dandara,Xbox One
X3: Terran Conflict,PC
Contact,DS
Digimon Story Cyber Sleuth: Hacker's Memory,PlayStation 4
Dragon Ball Z: Budokai Tenkaichi 2,PlayStation 2
Anarchy Reigns,Xbox 360
Red Faction: Guerrilla Re-Mars-tered,Xbox One
Red Faction: Guerrilla Re-Mars-tered,PlayStation 4
Red Faction: Guerrilla Re-Mars-tered,Switch
Warlords Battlecry III,PC
Tribes Aerial Assault,PlayStation 2
Mini Ninjas,Xbox 360
Mini Ninjas,PC
Mini Ninjas,PlayStation 3
Madagascar,PC
Sakura Wars,PlayStation 4
Dandara,Switch
Dandara,PC
Dandara,PlayStation 4
Dandara,Xbox One
X3: Terran Conflict,PC
Contact,DS
Digimon Story Cyber Sleuth: Hacker's Memory,PlayStation 4
Tony Hawk's Proving Ground,PlayStation 3
Tony Hawk's Proving Ground,Xbox 360
The Elder Scrolls Online: Greymoor,PlayStation 4
The Elder Scrolls Online: Greymoor,Stadia
The Elder Scrolls Online: Greymoor,Xbox One
Jay and Silent Bob: Mall Brawl,Switch
Lydia,Switch
Heroland,PlayStation 4
Heroland,Switch
Planescape: Torment: Enhanced Edition / Icewind Dale: Enhanced Edition,Switch
Planescape: Torment: Enhanced Edition / Icewind Dale: Enhanced Edition,Xbox One
Ghostbusters: The Video Game Remastered,Switch
Ghostbusters: The Video Game Remastered,PlayStation 4
Ghostbusters: The Video Game Remastered,Xbox One
Hue,Switch
Hue,PC
Hue,PlayStation 4
Hue,PlayStation Vita
Hue,Xbox One
A Pixel Story,Xbox One
A Pixel Story,PlayStation 4
Rise of the Tomb Raider: Baba Yaga - The Temple of the Witch,Xbox One
Rise of the Tomb Raider: Baba Yaga - The Temple of the Witch,Xbox 360
LBX: Little Battlers eXperience,3DS
Lemma,PC
Nihilumbra,PlayStation Vita
Nihilumbra,PC
Nihilumbra,Switch
Nihilumbra,Wii U
God of War Collection,PlayStation Vita
Gigantic Army,PC
Dustforce,PlayStation Vita
Dustforce,PlayStation 3
Dustforce,Xbox 360
Twisted Metal: Head-On - Extra Twisted Edition,PlayStation 2
The Lord of the Rings: The Third Age,PlayStation 2
Classic NES Series: Zelda II: The Adventure of Link,Game Boy Advance
Max Payne 2: The Fall of Max Payne,PlayStation 2
Warlords IV: Heroes of Etheria,PC
Indiana Jones and the Emperor's Tomb,PC
Indiana Jones and the Emperor's Tomb,Xbox 360
All-Star Baseball 2004 featuring Derek Jeter,Game Boy Advance
WWE Road to WrestleMania X8,Game Boy Advance
Test Drive,PlayStation 2
Baseball Mogul 2003,PC
Pac-Man World 2,PlayStation 2
Excite Truck,Wii
Crimson Alliance,Xbox 360
SOCOM: U.S. Navy Seals: Combined Assault,PlayStation 2
F.E.A.R.,PlayStation 3
F.E.A.R.,Xbox 360
Mad Max,Xbox One
Mad Max,PlayStation 4
Dreamfall Chapters Book One: Reborn,PC
Rock of Ages,Xbox 360
Rock of Ages,PlayStation 3
Capcom Classics Collection Remixed,PSP
Sparklite,PlayStation 4
Sparklite,Switch
Sparklite,Xbox One
Styx: Shards of Darkness,PlayStation 4
Styx: Shards of Darkness,Xbox One
Scrapland,PC
Armillo,Wii U
Gratuitous Space Battles,PC
Wii Fit U,Wii U
Ridge Racer Unbounded,PlayStation 3
Ridge Racer Unbounded,Xbox 360
Majesty 2: The Fantasy Kingdom Sim,PC
Brothers In Arms DS,DS
Derrick the Deathfin,PlayStation 3
"Wallace & Gromit's Grand Adventures, Episode 4: The Bogey Man",PC
Pumpkin Jack,PC
Pumpkin Jack,Switch
Pumpkin Jack,Xbox One
Borderlands 3: Psycho Krieg and the Fantastic Fustercluck,PC
Borderlands 3: Psycho Krieg and the Fantastic Fustercluck,Xbox One
Adventures of Pip,PC
Adventures of Pip,PlayStation 4
Adventures of Pip,Switch
Adventures of Pip,Wii U
Adventures of Pip,Xbox One
Harvest Moon: Frantic Farming,DS
Serious Sam II,Xbox
Urban Chaos: Riot Response,Xbox
Game of Thrones: Episode Five - A Nest of Vipers,Xbox One
Game of Thrones: Episode Five - A Nest of Vipers,PC
Game of Thrones: Episode Five - A Nest of Vipers,PlayStation 3
Game of Thrones: Episode Five - A Nest of Vipers,PlayStation 4
Game of Thrones: Episode Five - A Nest of Vipers,Xbox 360
UEFA Champions League 2006-2007,Xbox 360
Persona 5: Dancing in Starlight,PlayStation 4
Medal of Honor: European Assault,Xbox
Bujingai: The Forsaken City,PlayStation 2
Lamplight City,PC
The Wonderful 101: Remastered,Switch
The Wonderful 101: Remastered,PlayStation 4
Headmaster,PlayStation 4
Galaga Legions DX,PlayStation 3
Solar 2,PC
FIFA World Cup: Germany 2006,PSP
FIFA World Cup: Germany 2006,Xbox 360
Midway Arcade Treasures,GameCube
Midway Arcade Treasures,PlayStation 2
No More Heroes: Heroes Paradise,PlayStation 3
Destiny: House of Wolves,PlayStation 4
Destiny: House of Wolves,Xbox 360
Destiny: House of Wolves,Xbox One
Castlevania: Lords of Shadow - Mirror of Fate,3DS
Castlevania: Lords of Shadow - Mirror of Fate,PlayStation 3
Castlevania: Lords of Shadow - Mirror of Fate,Xbox 360
Dead Rising 4,Xbox One
Battlefield 3: Close Quarters,Xbox 360
Battlefield 3: Close Quarters,PlayStation 3
The Bigs,PSP
The Bigs,PlayStation 3
The Bigs,Xbox 360
Mushroom Wars 2,Switch
Mushroom Wars 2,PC
Beyond: Two Souls,PlayStation 4
Beyond: Two Souls,PlayStation 3
Broken Sword 5: The Serpent's Curse,PlayStation 4
Broken Sword 5: The Serpent's Curse,PC
Broken Sword 5: The Serpent's Curse,PlayStation Vita
Broken Sword 5: The Serpent's Curse,Switch
Broken Sword 5: The Serpent's Curse,Xbox One
Alpha Protocol,PC
Alpha Protocol,Xbox 360
The Surge,PC
The Surge,Xbox One
Hatoful Boyfriend,PlayStation 4
Hatoful Boyfriend,PC
Hatoful Boyfriend,PlayStation Vita
Call of Duty: Advanced Warfare - Havoc,Xbox One
Need for Speed Underground 2,Game Boy Advance
Puyo Pop Fever,GameCube
Siren,PlayStation 2
Silent Hill 3,PC
Medal of Honor: Allied Assault - Breakthrough,PC
Buffy the Vampire Slayer: Chaos Bleeds,PlayStation 2
X2: Wolverine's Revenge,Game Boy Advance
X2: Wolverine's Revenge,PlayStation 2
Impossible Creatures,PC
NBA Inside Drive 2003,Xbox
Fire Pro Wrestling 2,Game Boy Advance
Cultures 2: The Gates of Asgard,PC
Looney Tunes: Sheep Raider,PlayStation
Call to Power II,PC
FIFA 21,PlayStation 4
FIFA 21,PlayStation 5
FIFA 21,Switch
FIFA 21,Xbox One
FIFA 21,Xbox Series X
Monster Hunter Freedom 2,PSP
Grand Ages: Rome,PC
RAGE 2,Xbox One
RAGE 2,PlayStation 4
RAGE 2,Stadia
Tricky Towers,PlayStation 4
Tricky Towers,Switch
Tricky Towers,Xbox One
Remember Me,PlayStation 3
Remember Me,Xbox 360
Layers of Fear,PC
Layers of Fear,PlayStation 4
Layers of Fear,Xbox One
Serious Sam 3: BFE,PC
Serious Sam 3: BFE,Xbox 360
No Straight Roads,PC
No Straight Roads,Switch
No Straight Roads,Xbox One
WWE SmackDown vs. Raw 2009,PSP
WWE SmackDown vs. Raw 2009,PlayStation 3
WWE SmackDown vs. Raw 2009,Xbox 360
Zombie Army 4: Dead War,PlayStation 4
Zombie Army 4: Dead War,Stadia
Zombie Army 4: Dead War,Xbox One
Earth Defense Force 2: Invaders From Planet Space,PlayStation Vita
Bully: Scholarship Edition,PC
Bully: Scholarship Edition,Xbox 360
Final Fantasy Type-0 HD,PlayStation 4
Final Fantasy Type-0 HD,Xbox One
Marvel vs. Capcom Origins,PlayStation 3
chick chick BOOM,Wii
CastleStorm: Virtual Reality,PlayStation 4
Order Up!!,3DS
Blocks That Matter,PC
DC Universe Online,PC
DC Universe Online,PlayStation 4
DC Universe Online,Switch
DC Universe Online,Xbox One
The Getaway,PlayStation 2
NBA 2K8,PlayStation 2
NBA 2K8,Xbox 360
Omega Five,Xbox 360
Race Pro,Xbox 360
Anno 2205,PC
NBA 06,PSP
Lost Dimension,PlayStation Vita
Lost Dimension,PlayStation 3
Commanders: Attack of the Genos,Xbox 360
"Warhammer 40,000: Mechanicus",Switch
"Warhammer 40,000: Mechanicus",PlayStation 4
"Warhammer 40,000: Mechanicus",Xbox One
Monster Energy Supercross - The Official Videogame 2,PlayStation 4
Monster Energy Supercross - The Official Videogame 2,Switch
Monster Energy Supercross - The Official Videogame 2,Xbox One
Regalia: Of Men and Monarchs - Royal Edition,Switch
Regalia: Of Men and Monarchs - Royal Edition,Xbox One
Block N Load,PC
Full Bore,PC
The Last Federation,PC
Just Dance 2014,Wii U
Just Dance 2014,PlayStation 4
Just Dance 2014,Xbox 360
Just Dance 2014,Xbox One
Loadout,PC
Ridge Racer Unbounded,PC
Ridge Racer Unbounded,Xbox 360
Overlord: Raising Hell,PlayStation 3
Ys: The Ark of Napishtim,PlayStation 2
Samurai Warriors: Xtreme Legends,PlayStation 2
Front Mission,DS
Thrillville,PSP
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Xbox
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PlayStation 2
Tokobot,PSP
Stubbs the Zombie in Rebel Without a Pulse,PC
Baldur's Gate and Baldur's Gate II: Enhanced Editions,Switch
Baldur's Gate and Baldur's Gate II: Enhanced Editions,Xbox One
NAIRI: Tower of Shirin,Switch
Leo's Fortune,Xbox One
Leo's Fortune,PC
Leo's Fortune,PlayStation 4
Samurai Shodown II,Xbox 360
Samurai Shodown II,PC
Samurai Shodown II,PlayStation 4
Samurai Shodown II,Switch
Samurai Shodown II,Xbox One
NASCAR The Game: Inside Line,Xbox 360
Tom Clancy's Rainbow Six 3: Athena Sword,PC
Commandos 3: Destination Berlin,PC
Project Eden,PC
Spider-Man,Nintendo 64
Magic: The Gathering - Battlegrounds,Xbox
LEGO DC Super-Villains,Xbox One
LEGO DC Super-Villains,PlayStation 4
LEGO DC Super-Villains,Switch
Wayward Sky,PlayStation 4
Tony Hawk's Proving Ground,Xbox 360
Tony Hawk's Proving Ground,PlayStation 3
Tower 57,PC
Cars 3: Driven to Win,PlayStation 4
Cars 3: Driven to Win,Switch
Cars 3: Driven to Win,Wii U
Cars 3: Driven to Win,Xbox 360
Cars 3: Driven to Win,Xbox One
The Sims 3: University Life,PC
Trash Panic,PlayStation 3
Return to PoPoLoCrois: A Story of Seasons Fairytale,3DS
GripShift,Xbox 360
Tales of Zestiria,PlayStation 4
Tales of Zestiria,PlayStation 3
The Journey Down: Chapter One,PC
The Journey Down: Chapter One,iPhone/iPad
The Journey Down: Chapter One,PlayStation 4
The Journey Down: Chapter One,Switch
The Journey Down: Chapter One,Xbox One
Naruto: Clash of Ninja Revolution 2,Wii
Zarvot,Switch
Shenmue I & II,Xbox One
Shenmue I & II,PlayStation 4
Gurumin 3D: A Monstrous Adventure,3DS
Hitman GO: Definitive Edition,PC
Hitman GO: Definitive Edition,PlayStation 4
Hitman GO: Definitive Edition,PlayStation Vita
Pro Evolution Soccer 2010,PSP
Pro Evolution Soccer 2010,PlayStation 2
Pro Evolution Soccer 2010,PlayStation 3
Pro Evolution Soccer 2010,Xbox 360
Cars 2: The Video Game,Xbox 360
Cars 2: The Video Game,PC
Cars 2: The Video Game,PlayStation 3
Shattered Horizon,PC
The Blackout Club,PlayStation 4
The Blackout Club,Xbox One
Aarklash: Legacy,PC
Mount & Blade,PC
Cognition: An Erica Reed Thriller Episode 1 - The Hangman,PC
Team Sonic Racing,PlayStation 4
Team Sonic Racing,Switch
Team Sonic Racing,Xbox One
Red Faction: Guerrilla Re-Mars-tered,Switch
Red Faction: Guerrilla Re-Mars-tered,PlayStation 4
Red Faction: Guerrilla Re-Mars-tered,Xbox One
MXGP Pro,Xbox One
MXGP Pro,PlayStation 4
88 Heroes,PlayStation 4
88 Heroes,Xbox One
Mass Effect: Andromeda,PC
Mass Effect: Andromeda,Xbox One
The Wardrobe,PC
The Wardrobe,Switch
Penarium,Xbox One
Penarium,PC
Penarium,PlayStation 4
Renowned Explorers: International Society,PC
Oddworld: Munch's Oddysee HD,PlayStation Vita
Oddworld: Munch's Oddysee HD,Switch
Lara Croft and the Temple of Osiris,Xbox One
Lara Croft and the Temple of Osiris,PlayStation 4
Just Dance 2015,PlayStation 4
Just Dance 2015,Wii U
Just Dance 2015,Xbox 360
Just Dance 2015,Xbox One
Borderlands: Claptrap's New Robot Revolution,Xbox 360
Borderlands: Claptrap's New Robot Revolution,PlayStation 3
Forgotten Realms: Demon Stone,Xbox
Forgotten Realms: Demon Stone,PlayStation 2
Purrfect Date,PC
MotoGP 13,Xbox 360
MotoGP 13,PlayStation 3
MotoGP 13,PlayStation Vita
Steep,PC
Steep,Xbox One
Cinders,Switch
Cinders,PlayStation 4
Cinders,Xbox One
Mothergunship,PC
Mothergunship,Xbox One
Burly Men At Sea,Switch
Burly Men At Sea,PC
Burly Men At Sea,PlayStation 4
Burly Men At Sea,PlayStation Vita
Semispheres,Switch
Semispheres,PlayStation 4
Semispheres,PlayStation Vita
Senko no Ronde 2,PlayStation 4
Assassin's Creed Rogue,PlayStation 3
Assassin's Creed Rogue,Xbox 360
LocoRoco Cocoreccho!,PlayStation 3
Lemony Snicket's A Series of Unfortunate Events,Game Boy Advance
Tales of Legendia,PlayStation 2
Mercenaries 2: World in Flames,Xbox 360
Mercenaries 2: World in Flames,PlayStation 3
Underrail,PC
"Wallace & Gromit's Grand Adventures, Episode 2: The Last Resort",PC
"Wallace & Gromit's Grand Adventures, Episode 2: The Last Resort",Xbox 360
Disney's Chicken Little: Ace in Action,Wii
Disney's Chicken Little: Ace in Action,PlayStation 2
Book of Demons,PC
Book of Demons,PlayStation 4
Book of Demons,Switch
Book of Demons,Xbox One
Worms: Battle Islands,PSP
Justice League Heroes,PSP
Namco Museum,Switch
Dark Sector,PlayStation 3
Dark Sector,Xbox 360
Dead Rising 2: Off the Record,PlayStation 3
Dead Rising 2: Off the Record,PlayStation 4
Dead Rising 2: Off the Record,Xbox 360
Dead Rising 2: Off the Record,Xbox One
Endless Ocean,Wii
PGA Tour 2K21,Switch
PGA Tour 2K21,PlayStation 4
PGA Tour 2K21,Stadia
PGA Tour 2K21,Xbox One
Need for Speed Heat,PlayStation 4
Need for Speed Heat,Xbox One
Shadows: Awakening,PlayStation 4
Shadows: Awakening,Xbox One
Spintires: Mudrunner,Xbox One
Spintires: Mudrunner,PC
Spintires: Mudrunner,PlayStation 4
Spintires: Mudrunner,Switch
Star Wars Battlefront,PC
Star Wars Battlefront,Xbox One
Killzone: Shadow Fall - Intercept,PlayStation 4
Cognition: An Erica Reed Thriller Episode 2 - The Wise Monkey,PC
Test Drive: Eve of Destruction,Xbox
Sword of Mana,Game Boy Advance
Disciples II: Guardians of the Light,PC
Hearts of Iron,PC
NFL Blitz 20-03,Xbox
NFL Blitz 20-03,GameCube
Silpheed: The Lost Planet,PlayStation 2
RC Revenge,PlayStation
A New Beginning: Final Cut,PC
Convoy,PC
Convoy,Switch
Convoy,Xbox One
Assassin's Creed III Remastered,PlayStation 4
Assassin's Creed III Remastered,Switch
Assassin's Creed III Remastered,Xbox One
Matterfall,PlayStation 4
Super Dragon Ball Z,PlayStation 2
Sudeki,Xbox
Amped 3,Xbox 360
GreedFall,PlayStation 4
GreedFall,Xbox One
NBA Live 18,Xbox One
The Fall,Wii U
The Fall,PC
The Fall,PlayStation 4
The Fall,Switch
The Fall,Xbox One
Rayman 3 HD,PlayStation 3
Rayman 3 HD,PlayStation 2
Rayman 3 HD,Xbox 360
Dementium: The Ward,DS
Proteus,PlayStation 3
Proteus,PlayStation Vita
Prinny: Can I Really Be the Hero?,PSP
Sea of Solitude,Xbox One
Sea of Solitude,PlayStation 4
Zombi,Xbox One
Zombi,PlayStation 4
Zombi,Wii U
Inazuma Eleven 3: Bomb Blast,3DS
Broken Sword 5: The Serpents' Curse - Part II,PC
The Saboteur,PlayStation 3
The Saboteur,PC
The Saboteur,Xbox 360
Area 51,Xbox
Chasm,PC
Chasm,PlayStation Vita
Chasm,Switch
Chasm,Xbox One
LEGO Jurassic World,PC
LEGO Jurassic World,iPhone/iPad
LEGO Jurassic World,PlayStation 3
LEGO Jurassic World,PlayStation 4
LEGO Jurassic World,PlayStation Vita
LEGO Jurassic World,Switch
LEGO Jurassic World,Wii U
LEGO Jurassic World,Xbox 360
LEGO Jurassic World,Xbox One
MouseCraft,PC
MouseCraft,PlayStation 4
MouseCraft,PlayStation Vita
MouseCraft,Switch
Kingdom of Paradise,PSP
WWE SmackDown vs. Raw 2011,Wii
WWE SmackDown vs. Raw 2011,PlayStation 3
WWE SmackDown vs. Raw 2011,Xbox 360
Yo-kai Watch 2: Bony Spirits,3DS
Theme Park,DS
Infliction: Extended Cut,Xbox One
Infliction: Extended Cut,Switch
Dark Devotion,PlayStation 4
Dark Devotion,Switch
Massive Chalice,Xbox One
Mighty Gunvolt,3DS
Mario Party DS,DS
The Silent Hill Experience,PSP
Blood II: The Chosen,PC
After Burner Climax,Xbox 360
After Burner Climax,PlayStation 3
MotorStorm Arctic Edge,PlayStation 2
Mortal Kombat vs. DC Universe,Xbox 360
Boing! Docomodake DS,DS
Cloudbuilt,PC
Gel: Set & Match,Xbox 360
Blazing Angels 2: Secret Missions of WWII,Xbox 360
Blazing Angels 2: Secret Missions of WWII,PlayStation 3
Star Ocean: The Last Hope,Xbox 360
Ultimate Ghosts 'n Goblins,PSP
NBA Live 18,PlayStation 4
The Club,PlayStation 3
The Club,Xbox 360
Tiger Woods PGA Tour 08,PSP
Tiger Woods PGA Tour 08,PlayStation 2
Tiger Woods PGA Tour 08,PlayStation 3
Tiger Woods PGA Tour 08,Xbox 360
Monsters (Probably) Stole My Princess,PSP
The Adventure Pals,PlayStation 4
The Adventure Pals,Switch
The Adventure Pals,Xbox One
Squids Odyssey,3DS
Squids Odyssey,Switch
Squids Odyssey,Wii U
Need for Speed ProStreet,Xbox 360
Need for Speed ProStreet,PlayStation 3
Mafia II: Definitive Edition,PC
Mafia II: Definitive Edition,Xbox One
Snake Pass,Switch
Snake Pass,PlayStation 4
Snake Pass,Xbox One
Grandia HD Collection,Switch
Kingdoms of Amalur: Re-Reckoning,Xbox One
Kingdoms of Amalur: Re-Reckoning,PlayStation 4
Mirror's Edge Catalyst,Xbox One
Mirror's Edge Catalyst,PlayStation 4
Pid,Xbox 360
Pid,PlayStation 3
Dragon Ball Z: Burst Limit,Xbox 360
The Sims: Life Stories,PC
Shrek 2,Game Boy Advance
Sonic Heroes,GameCube
Sonic Heroes,PlayStation 2
Secret Weapons Over Normandy,PC
Romance of the Three Kingdoms VII,PlayStation 2
Pirates: The Legend of Black Kat,PlayStation 2
ESPN International Track & Field,PlayStation 2
Fantavision,PlayStation 2
Sherlock Holmes: The Awakened,PC
Ancestors: The Humankind Odyssey,Xbox One
Ancestors: The Humankind Odyssey,PlayStation 4
The Golf Club 2019 featuring PGA Tour,PC
The Golf Club 2019 featuring PGA Tour,Xbox One
Skylanders Imaginators,Switch
Skylanders Imaginators,PlayStation 4
Skylanders Imaginators,Wii U
Skylanders Imaginators,Xbox 360
Skylanders Imaginators,Xbox One
Big Pharma,PC
Big Pharma,Switch
Big Pharma,Xbox One
Let It Die,PlayStation 4
FlatOut,PC
State of Decay: Year One Survival Edition,Xbox One
Beyond Blue,PC
Beyond Blue,PlayStation 4
Beyond Blue,Xbox One
WWE 2K16,Xbox One
WWE 2K16,PlayStation 3
WWE 2K16,PlayStation 4
WWE 2K16,Xbox 360
NHL 07,PC
NHL 07,Xbox 360
Puzzle Quest: Galactrix,PC
Puzzle Quest: Galactrix,Xbox 360
Total Overdose: A Gunslinger's Tale in Mexico,PC
Resonance of Fate,PlayStation 3
PixelJunk Monsters 2,PlayStation 4
PixelJunk Monsters 2,Switch
Assassin's Creed: The Ezio Collection,PlayStation 4
Wild Earth: Photo Safari,PC
rain,PlayStation 3
Call of Juarez,PC
Guild of Dungeoneering,PC
NiGHTS into Dreams...,Xbox 360
NiGHTS into Dreams...,PlayStation 3
Ray Gigant,PlayStation Vita
Max: The Curse of Brotherhood,Xbox One
Max: The Curse of Brotherhood,PC
Max: The Curse of Brotherhood,PlayStation 4
Max: The Curse of Brotherhood,Switch
Max: The Curse of Brotherhood,Xbox 360
Rock of Ages 3: Make & Break,PC
Rock of Ages 3: Make & Break,Stadia
Rock of Ages 3: Make & Break,Switch
Rock of Ages 3: Make & Break,Xbox One
Late Shift,Xbox One
Late Shift,PlayStation 4
Late Shift,Switch
Tom Clancy's Rainbow Six: Lockdown,GameCube
Tom Clancy's Rainbow Six: Lockdown,PlayStation 2
Shaman King: Master of Spirits 2,Game Boy Advance
Dragon Ball: Xenoverse 2,PlayStation 4
Dragon Ball: Xenoverse 2,Stadia
Dragon Ball: Xenoverse 2,Switch
Dragon Ball: Xenoverse 2,Xbox One
Attack on Titan 2,Switch
Attack on Titan 2,PlayStation 4
Attack on Titan 2,Xbox One
The Incredible Adventures of Van Helsing,PC
DiRT Showdown,PC
DiRT Showdown,Xbox 360
Dragon Ball Z: Budokai Tenkaichi 3,Wii
Superdimension Neptune VS Sega Hard Girls,PlayStation Vita
Jotun: Valhalla Edition,PlayStation 4
Jotun: Valhalla Edition,Stadia
Jotun: Valhalla Edition,Switch
Jotun: Valhalla Edition,Wii U
Jotun: Valhalla Edition,Xbox One
Gotham City Impostors,PlayStation 3
Gotham City Impostors,Xbox 360
